"","cod_distrito","distrito_nombre","cod_canton","canton_nombre","provincia_nombre","n_years"
"344",50104,"Nacascolo",501,"Liberia","Guanacaste",11
"345",50105,"Curubandé",501,"Liberia","Guanacaste",11
"346",50201,"Nicoya",502,"Nicoya","Guanacaste",11
"347",50202,"Mansión",502,"Nicoya","Guanacaste",11
"348",50203,"San Antonio",502,"Nicoya","Guanacaste",11
"349",50204,"Quebrada Honda",502,"Nicoya","Guanacaste",11
"350",50205,"Sámara",502,"Nicoya","Guanacaste",11
"351",50206,"Nosara",502,"Nicoya","Guanacaste",11
"352",50207,"Belén de Nosarita",502,"Nicoya","Guanacaste",11
"353",50301,"Santa Cruz",503,"Santa Cruz","Guanacaste",11
"354",50302,"Bolsón",503,"Santa Cruz","Guanacaste",11
"355",50303,"Veintisiete de Abril",503,"Santa Cruz","Guanacaste",11
"356",50304,"Tempate",503,"Santa Cruz","Guanacaste",11
"357",50305,"Cartagena",503,"Santa Cruz","Guanacaste",11
"358",50306,"Cuajiniquil",503,"Santa Cruz","Guanacaste",11
"359",50307,"Diriá",503,"Santa Cruz","Guanacaste",11
"360",50308,"Cabo Velas",503,"Santa Cruz","Guanacaste",11
"361",50309,"Tamarindo",503,"Santa Cruz","Guanacaste",11
"362",50401,"Bagaces",504,"Bagaces","Guanacaste",11
"363",50402,"La Fortuna",504,"Bagaces","Guanacaste",11
"364",50403,"Mogote",504,"Bagaces","Guanacaste",11
"365",50404,"Río Naranjo",504,"Bagaces","Guanacaste",11
"366",50501,"Filadelfia",505,"Carrillo","Guanacaste",11
"367",50502,"Palmira",505,"Carrillo","Guanacaste",11
"368",50503,"Sardinal",505,"Carrillo","Guanacaste",11
"369",50504,"Belén",505,"Carrillo","Guanacaste",11
"370",50601,"Cañas",506,"Cañas","Guanacaste",11
"371",50602,"Palmira",506,"Cañas","Guanacaste",11
"372",50603,"San Miguel",506,"Cañas","Guanacaste",11
"373",50604,"Bebedero",506,"Cañas","Guanacaste",11
"374",50605,"Porozal",506,"Cañas","Guanacaste",11
"375",50701,"Las Juntas",507,"Abangares","Guanacaste",11
"376",50702,"Sierra",507,"Abangares","Guanacaste",11
"377",50703,"San Juan",507,"Abangares","Guanacaste",11
